,open,high,low,close,volume,date_parsed,cont_len,cont_pol,cont_sent
86,1404.36,1410.03,1400.6,1403.93,453956416,2012-08-14,135.95454545454547,0.0646366845636326,Positive
87,1403.89,1407.73,1401.83,1405.53,438823200,2012-08-15,172.41935483870967,0.08703211343188301,Positive
88,1405.57,1417.44,1404.15,1415.51,521541184,2012-08-16,219.36486486486487,0.10153251053251054,Positive
89,1415.84,1418.71,1414.67,1418.16,600927232,2012-08-17,182.26785714285714,-0.003864216317979073,Negative
90,1417.85,1418.13,1412.12,1418.13,443600704,2012-08-20,311.7916666666667,0.034455191764934424,Positive
91,1418.13,1426.68,1410.86,1413.17,531114496,2012-08-21,299.7586206896552,0.11418346924673396,Positive
92,1413.09,1416.12,1406.78,1413.49,508463392,2012-08-22,282.05263157894734,-0.005006376907692699,Negative
93,1413.49,1413.49,1400.5,1402.08,462198016,2012-08-23,185.38235294117646,0.015501111429420253,Positive
94,1401.99,1413.46,1398.04,1411.13,432340000,2012-08-24,281.76190476190476,0.02790081230741017,Positive
95,1411.13,1416.17,1409.11,1410.44,421847008,2012-08-27,177.52631578947367,0.023652360066833758,Positive
96,1410.44,1413.63,1405.59,1409.3,410787904,2012-08-28,94.4,0.05285714285714284,Positive
97,1409.32,1413.95,1406.57,1410.49,408841216,2012-08-29,77.83333333333333,0.31666666666666665,Positive
98,1410.08,1410.08,1397.01,1399.48,406387488,2012-08-30,207.23076923076923,-0.0389434113865932,Negative
99,1400.07,1413.09,1398.96,1406.58,575151872,2012-08-31,78.875,0.05625000000000002,Positive
100,1406.54,1409.31,1396.56,1404.94,479796288,2012-09-04,560.0625,0.04086954981267868,Positive
101,1404.94,1408.81,1401.25,1403.43,485651104,2012-09-05,423.625,0.08412217556748804,Positive
102,1403.74,1432.12,1403.74,1432.11,577384896,2012-09-06,212.6,0.1058308080808081,Positive
103,1432.12,1437.92,1431.45,1437.92,550364672,2012-09-07,247.72727272727272,0.15317123252729312,Positive
104,1437.92,1438.74,1428.98,1429.08,494991808,2012-09-10,53.0,0.0,Neutral
105,1429.13,1437.76,1429.13,1433.56,527348704,2012-09-11,282.5833333333333,0.1123163154361071,Positive
106,1433.56,1439.15,1432.99,1436.56,509502912,2012-09-12,131.19354838709677,0.11828510167507862,Positive
107,1436.56,1463.76,1435.34,1459.99,617087424,2012-09-13,170.8125,0.07687365658068784,Positive
108,1460.07,1474.51,1460.07,1465.77,745929984,2012-09-14,214.25,0.006328452797202816,Positive
109,1465.42,1465.63,1457.55,1461.19,525147488,2012-09-17,74.0,0.25892857142857145,Positive
110,1461.19,1461.47,1456.13,1459.32,518979296,2012-09-18,182.2,0.03302579365079363,Positive
111,1459.5,1465.15,1457.88,1461.05,536734496,2012-09-19,58.0,0.05795454545454544,Positive
112,1461.05,1461.23,1449.98,1460.26,541019392,2012-09-20,140.0,0.016666666666666684,Positive
113,1460.34,1467.07,1459.51,1460.15,1501954944,2012-09-21,171.625,0.1268587562866056,Positive
114,1459.76,1460.72,1452.06,1456.89,509948000,2012-09-24,121.66666666666667,0.16058201058201052,Positive
115,1456.94,1463.24,1441.59,1441.59,609070272,2012-09-25,57.0,-0.125,Negative
116,1441.6,1441.6,1430.53,1433.32,545300672,2012-09-26,278.625,0.08188031462585031,Positive
117,1433.36,1450.2,1433.36,1447.15,498622688,2012-09-27,286.5833333333333,-0.0005305458430458418,Negative
118,1447.13,1447.13,1435.6,1440.67,640858624,2012-09-28,238.5,0.203030303030303,Positive
119,1440.9,1457.14,1440.9,1444.49,528217600,2012-10-01,92.66666666666667,0.13333333333333333,Positive
120,1444.99,1451.52,1439.01,1445.75,468189184,2012-10-02,456.0833333333333,-0.0023202690166975967,Negative
121,1446.05,1454.3,1441.99,1450.99,522672704,2012-10-03,70.71428571428571,0.06785714285714287,Positive
122,1451.08,1463.14,1451.08,1461.4,510423104,2012-10-04,183.0,0.018618827160493834,Positive
123,1461.4,1470.96,1456.89,1460.93,485459808,2012-10-05,220.0,0.1625,Positive
124,1460.93,1460.93,1453.1,1455.88,359194400,2012-10-08,461.0,0.07395104895104895,Positive
125,1455.9,1455.9,1441.18,1441.48,487372192,2012-10-09,148.66666666666666,0.11805555555555554,Positive
126,1441.48,1442.52,1430.64,1432.56,463834208,2012-10-10,359.25,0.021553884711779422,Positive
127,1432.82,1443.9,1432.82,1432.84,506534592,2012-10-11,113.33333333333333,0.1222222222222222,Positive
128,1432.84,1438.43,1425.53,1428.59,523056000,2012-10-12,347.7142857142857,-0.02960214388785819,Negative
129,1428.75,1441.31,1427.24,1440.13,505754496,2012-10-15,47.625,0.0765625,Positive
130,1440.31,1455.51,1440.31,1454.92,502769984,2012-10-16,389.5,0.2950441919191919,Positive
131,1454.22,1462.2,1453.35,1460.91,568299584,2012-10-17,100.33333333333333,0.10333333333333333,Positive
132,1460.94,1464.02,1452.63,1457.34,586051968,2012-10-18,53.0,0.14375,Positive
133,1457.34,1457.34,1429.85,1433.19,909848512,2012-10-19,198.0,0.0,Neutral
134,1433.21,1435.46,1422.06,1433.82,537693504,2012-10-22,1244.0,0.0540854978354978,Positive
135,1433.74,1433.74,1407.56,1413.11,608605312,2012-10-23,316.6666666666667,0.04891031679226126,Positive
136,1413.2,1420.04,1407.1,1408.75,561183104,2012-10-24,475.77777777777777,0.024329008681949846,Positive
137,1409.74,1421.12,1405.14,1412.97,577411712,2012-10-25,52.90909090909091,-0.07272727272727274,Negative
138,1412.97,1417.09,1403.28,1411.94,624422784,2012-10-26,121.7,0.08175000000000002,Positive
139,1410.99,1418.76,1405.95,1412.16,669957888,2012-10-31,193.0,0.0,Neutral
140,1412.2,1428.35,1412.2,1427.59,616103488,2012-11-01,43.0,-0.125,Negative
141,1427.59,1434.27,1412.91,1414.2,629411968,2012-11-02,34.0,0.75,Positive
142,1414.02,1419.9,1408.13,1417.26,485471488,2012-11-05,81.0,0.0,Neutral
143,1417.26,1433.38,1417.26,1428.39,564275776,2012-11-06,78.66666666666667,0.2817460317460317,Positive
144,1428.27,1428.27,1388.14,1394.53,712068608,2012-11-07,10.0,-0.2,Negative
145,1394.53,1401.23,1377.51,1377.51,628285504,2012-11-08,1030.5714285714287,0.0468960708459932,Positive
